delivery_id,carrier_id,origin,destination,distance_km,scheduled_date,actual_date,is_late,weather_condition,traffic_delay_hrs
DEL_001,CARRIER_B,WH_CENTRAL,RETAIL_2,176,02-08-2026,03-08-2026,1,CLEAR,0.2
DEL_002,CARRIER_C,WH_CENTRAL,RETAIL_2,511,03-08-2026,03-08-2026,0,STORM,2.6
DEL_003,CARRIER_A,WH_CENTRAL,RETAIL_3,395,04-08-2026,04-08-2026,0,RAIN,0.1
DEL_004,CARRIER_A,WH_CENTRAL,RETAIL_1,420,05-08-2026,05-08-2026,0,CLEAR,0.1
DEL_005,CARRIER_C,WH_NORTH,RETAIL_1,362,06-08-2026,06-08-2026,0,CLEAR,0.1
DEL_006,CARRIER_C,WH_CENTRAL,HUB_WEST,435,07-08-2026,08-08-2026,1,CLEAR,0.1
DEL_007,CARRIER_B,WH_CENTRAL,HUB_WEST,228,08-08-2026,08-08-2026,0,CLEAR,0.2
DEL_008,CARRIER_B,WH_CENTRAL,RETAIL_1,334,09-08-2026,09-08-2026,0,CLEAR,0.2
DEL_009,CARRIER_B,WH_NORTH,RETAIL_3,133,10-08-2026,10-08-2026,0,CLEAR,0.2
DEL_010,CARRIER_C,WH_CENTRAL,RETAIL_3,376,11-08-2026,15-08-2026,1,CLEAR,0
DEL_011,CARRIER_A,WH_CENTRAL,RETAIL_2,367,12-08-2026,12-08-2026,0,CLEAR,0
DEL_012,CARRIER_C,WH_NORTH,RETAIL_2,68,13-08-2026,13-08-2026,0,CLEAR,0.3
DEL_013,CARRIER_C,WH_NORTH,RETAIL_1,162,14-08-2026,14-08-2026,0,CLEAR,0.2
DEL_014,CARRIER_B,WH_CENTRAL,RETAIL_2,104,15-08-2026,15-08-2026,0,STORM,0.5
DEL_015,CARRIER_C,WH_CENTRAL,HUB_WEST,136,16-08-2026,16-08-2026,0,STORM,1.8
DEL_016,CARRIER_A,WH_CENTRAL,RETAIL_1,492,17-08-2026,17-08-2026,0,CLEAR,0.2
DEL_017,CARRIER_B,WH_NORTH,HUB_WEST,313,18-08-2026,18-08-2026,0,CLEAR,0.1
DEL_018,CARRIER_B,WH_CENTRAL,RETAIL_3,501,19-08-2026,19-08-2026,0,STORM,0.2
DEL_019,CARRIER_A,WH_CENTRAL,HUB_WEST,56,20-08-2026,21-08-2026,1,CLEAR,0.3
DEL_020,CARRIER_A,WH_CENTRAL,RETAIL_1,597,21-08-2026,21-08-2026,0,CLEAR,0.2
DEL_021,CARRIER_A,WH_CENTRAL,RETAIL_2,435,22-08-2026,22-08-2026,0,CLEAR,0
DEL_022,CARRIER_B,WH_NORTH,HUB_WEST,275,23-08-2026,23-08-2026,0,RAIN,0.2
DEL_023,CARRIER_A,WH_NORTH,RETAIL_3,207,24-08-2026,24-08-2026,0,CLEAR,0.4
DEL_024,CARRIER_C,WH_CENTRAL,RETAIL_2,570,25-08-2026,25-08-2026,0,CLEAR,0.2
DEL_025,CARRIER_A,WH_NORTH,RETAIL_3,543,26-08-2026,26-08-2026,0,STORM,0.7
